MesAno,Empresa,Valor,Segmento,mes
202310,Empresa 7266,16376.0,Não Tiny,2023-10
202310,Empresa 6873,84285.848,Não Tiny,2023-10
202310,Empresa 7267,345200.0636,Não Tiny,2023-10
202310,Empresa 7274,1529610.9956,Não Tiny,2023-10
202310,Empresa 7268,300061.72000000003,Tiny,2023-10
202311,Empresa 7259,245654.7384,Tiny,2023-11
202311,Empresa 7260,127107.71740000001,Não Tiny,2023-11
202311,Empresa 7261,101549.0,Tiny,2023-11
202311,Empresa 3094,1361343.2523999999,Não Tiny,2023-11
202311,Empresa 7262,63931.37,Não Tiny,2023-11
202311,Empresa 7276,6479.2,Tiny,2023-11
202311,Empresa 7273,45328.3942,Tiny,2023-11
202311,Empresa 7275,211837.622,Não Tiny,2023-11
202311,Empresa 6741,5079.585999999999,Tiny,2023-11
202311,Empresa 6743,166805.84699999998,Não Tiny,2023-11
202311,Empresa 7264,36999.5962,Não Tiny,2023-11
202311,Empresa 7265,39427.0,Não Tiny,2023-11
202311,Empresa 6858,697059.748,Não Tiny,2023-11
202311,Empresa 7266,19266.72,Não Tiny,2023-11
202311,Empresa 6873,86650.04400000001,Não Tiny,2023-11
202311,Empresa 7267,545477.5824000001,Não Tiny,2023-11
202311,Empresa 7274,7460807.5932,Não Tiny,2023-11
202311,Empresa 7268,191424.76,Não Tiny,2023-11
202301,Empresa 7277,158616.8146,Não Tiny,2023-01
202301,Empresa 7278,62583.6074,Não Tiny,2023-01
202301,Empresa 7279,64493.672000000006,Não Tiny,2023-01
202301,Empresa 7280,66376.7518,Não Tiny,2023-01
202301,Empresa 7281,434706.84739999997,Não Tiny,2023-01
202301,Empresa 7282,284945.4972,Tiny,2023-01
202301,Empresa 7283,156240.924,Não Tiny,2023-01
202301,Empresa 7284,767974.5920000001,Não Tiny,2023-01
202301,Empresa 7285,254481.082,Não Tiny,2023-01
202301,Empresa 7286,2776701.3346,Não Tiny,2023-01
202301,Empresa 7287,146054.34,Tiny,2023-01
202301,Empresa 7288,85895.3418,Não Tiny,2023-01
202301,Empresa 7289,249811.05620000002,Não Tiny,2023-01
202301,Empresa 7290,286392.45920000004,Não Tiny,2023-01
202301,Empresa 7291,65052.0046,Não Tiny,2023-01
202302,Empresa 7279,53011.604,Não Tiny,2023-02
202302,Empresa 7280,96263.468,Tiny,2023-02
202302,Empresa 7292,187680.9216,Tiny,2023-02
202302,Empresa 7281,1123397.783,Não Tiny,2023-02
202302,Empresa 7282,259537.884,Não Tiny,2023-02
202302,Empresa 7293,12.6914,Não Tiny,2023-02
202302,Empresa 7294,181724.7746,Tiny,2023-02
202302,Empresa 7284,788780.834,Não Tiny,2023-02
202302,Empresa 7295,270821.66000000003,Não Tiny,2023-02
202302,Empresa 7296,111107.49320000001,Tiny,2023-02
202302,Empresa 7297,285810.3814,Não Tiny,2023-02
202302,Empresa 7286,581493.96,Não Tiny,2023-02
202302,Empresa 7298,38752.38,Não Tiny,2023-02
202302,Empresa 7299,1607723.0204,Não Tiny,2023-02
202302,Empresa 7300,2138434.2924,Não Tiny,2023-02
202302,Empresa 7301,1054422.1778,Não Tiny,2023-02
202302,Empresa 7290,584167.876,Não Tiny,2023-02
202302,Empresa 7291,518432.38700000005,Não Tiny,2023-02
202302,Empresa 7302,381104.942,Tiny,2023-02
202302,Empresa 7303,57095.28,Não Tiny,2023-02
202302,Empresa 7304,112794.55940000001,Não Tiny,2023-02
202302,Empresa 7305,334802.7098,Tiny,2023-02
202302,Empresa 7306,939215.6294,Tiny,2023-02
202303,Empresa 7307,1018916.1084,Não Tiny,2023-03
202304,Empresa 7307,1337355.7054,Não Tiny,2023-04
202305,Empresa 7307,4361438.058,Não Tiny,2023-05
202306,Empresa 7308,158067.5244,Não Tiny,2023-06
202306,Empresa 7309,116406.7134,Não Tiny,2023-06
202307,Empresa 7308,166940.2726,Não Tiny,2023-07
202307,Empresa 7310,618908.4029999999,Não Tiny,2023-07
202307,Empresa 7311,157763.9988,Não Tiny,2023-07
202307,Empresa 7309,110818.75940000001,Não Tiny,2023-07
202307,Empresa 7290,323569.8596,Não Tiny,2023-07
202308,Empresa 7312,204634.46039999998,Não Tiny,2023-08
202308,Empresa 7313,29001.896,Não Tiny,2023-08
202308,Empresa 7287,143132.93279999998,Não Tiny,2023-08
202308,Empresa 7309,255214.887,Tiny,2023-08
202308,Empresa 7290,96722.24519999999,Não Tiny,2023-08
202308,Empresa 7314,53521.5384,Não Tiny,2023-08
202308,Empresa 7315,299680.6754,Não Tiny,2023-08
202309,Empresa 7308,370044.55600000004,Não Tiny,2023-09
202309,Empresa 7312,195642.203,Não Tiny,2023-09
202309,Empresa 7294,441614.5112,Não Tiny,2023-09
202309,Empresa 7316,100413.36,Não Tiny,2023-09
202309,Empresa 7309,202908.163,Tiny,2023-09
202309,Empresa 7317,365001.549,Tiny,2023-09
202309,Empresa 7318,404356.548,Tiny,2023-09
202309,Empresa 7319,725281.7904,Não Tiny,2023-09
202310,Empresa 7313,6879.7,Tiny,2023-10
202310,Empresa 7316,189928.1004,Não Tiny,2023-10
202310,Empresa 7320,302823.212,Tiny,2023-10
202310,Empresa 7321,100513.5384,Tiny,2023-10
202310,Empresa 7317,56861.815200000005,Não Tiny,2023-10
202310,Empresa 7290,223000.39359999998,Não Tiny,2023-10
202310,Empresa 7322,42755.6,Não Tiny,2023-10
202310,Empresa 7095,167692.6608,Não Tiny,2023-10
202310,Empresa 7323,201669.12279999998,Não Tiny,2023-10
202311,Empresa 7308,269287.0686,Tiny,2023-11
202311,Empresa 7312,181528.0134,Tiny,2023-11
202311,Empresa 7316,153555.9898,Não Tiny,2023-11
202311,Empresa 7320,256303.8554,Não Tiny,2023-11
202311,Empresa 7287,109917.0292,Não Tiny,2023-11
202311,Empresa 7324,134695.3234,Não Tiny,2023-11
202311,Empresa 7290,574808.7784000001,Não Tiny,2023-11
202311,Empresa 7095,135922.3842,Não Tiny,2023-11
202311,Empresa 7111,41312.803199999995,Tiny,2023-11
202301,Empresa 7325,116506.518,Tiny,2023-01
202301,Empresa 7326,826965.7322,Não Tiny,2023-01
202301,Empresa 7327,438949.3884,Tiny,2023-01
202301,Empresa 7328,38023.648,Não Tiny,2023-01
202301,Empresa 7329,2370088.0492,Não Tiny,2023-01
202302,Empresa 7326,275914.80960000004,Não Tiny,2023-02
202302,Empresa 7327,359657.8644,Não Tiny,2023-02
202302,Empresa 7328,67852.7812,Não Tiny,2023-02
202302,Empresa 7329,1584061.0354000002,Tiny,2023-02
202303,Empresa 7325,140699.24560000002,Tiny,2023-03
202303,Empresa 7326,786706.7602,Tiny,2023-03
202303,Empresa 7327,576391.6078,Tiny,2023-03
202303,Empresa 7328,16208.128200000001,Não Tiny,2023-03
202303,Empresa 7329,2116259.6398,Não Tiny,2023-03
202304,Empresa 122,299907.1982,Não Tiny,2023-04
202304,Empresa 7326,644085.3282,Não Tiny,2023-04
202304,Empresa 7327,494806.091,Não Tiny,2023-04
202304,Empresa 7328,17385.971999999998,Tiny,2023-04
202304,Empresa 7329,1376887.9568,Tiny,2023-04
202305,Empresa 121,152848.6,Não Tiny,2023-05
202305,Empresa 122,163862.52800000002,Não Tiny,2023-05
202305,Empresa 7326,101859.84139999999,Não Tiny,2023-05
202305,Empresa 7327,556278.7648,Tiny,2023-05
202305,Empresa 7330,462260.5532,Não Tiny,2023-05
202305,Empresa 7331,506751.93799999997,Não Tiny,2023-05
202305,Empresa 7329,1716350.7956,Não Tiny,2023-05
202306,Empresa 121,263898.2432,Tiny,2023-06
202306,Empresa 122,119376.1984,Não Tiny,2023-06
202306,Empresa 7327,721605.325,Não Tiny,2023-06
202306,Empresa 7330,466315.767,Tiny,2023-06
202306,Empresa 7329,1408163.518,Não Tiny,2023-06
202307,Empresa 7332,363126.9598,Não Tiny,2023-07
202307,Empresa 121,62108.9704,Não Tiny,2023-07
202307,Empresa 122,140234.096,Tiny,2023-07
202307,Empresa 7327,614650.7142,Tiny,2023-07
202307,Empresa 7330,270936.1674,Não Tiny,2023-07
202307,Empresa 7329,1417502.5372,Tiny,2023-07
202308,Empresa 7332,444760.5722,Tiny,2023-08
202308,Empresa 121,137235.0274,Não Tiny,2023-08
202308,Empresa 122,123875.18400000001,Não Tiny,2023-08
202308,Empresa 7327,746897.6832,Tiny,2023-08
202308,Empresa 7330,306203.8948,Não Tiny,2023-08
202308,Empresa 7329,1310433.7216,Não Tiny,2023-08
202309,Empresa 5120,15818.059,Tiny,2023-09
202309,Empresa 7332,551727.1624,Tiny,2023-09
202309,Empresa 121,107547.6,Não Tiny,2023-09
202309,Empresa 122,186453.042,Não Tiny,2023-09
202309,Empresa 7327,757378.0918,Não Tiny,2023-09
202309,Empresa 7330,462758.6506,Não Tiny,2023-09
202309,Empresa 7329,1411994.8256,Tiny,2023-09
202310,Empresa 5120,15818.059,Não Tiny,2023-10
202310,Empresa 7333,268445.0396,Tiny,2023-10
202310,Empresa 7332,782081.003,Não Tiny,2023-10
202310,Empresa 121,160555.466,Tiny,2023-10
202310,Empresa 122,104615.406,Não Tiny,2023-10
202310,Empresa 7327,765323.3176,Não Tiny,2023-10
202310,Empresa 7330,595722.4968,Não Tiny,2023-10
202310,Empresa 7334,90579.216,Tiny,2023-10
202310,Empresa 7335,67454.88,Não Tiny,2023-10
202310,Empresa 7329,1583901.049,Não Tiny,2023-10
202311,Empresa 7333,122032.884,Não Tiny,2023-11
202311,Empresa 7332,362716.5452,Tiny,2023-11
202311,Empresa 121,50988.1,Tiny,2023-11
202311,Empresa 122,65035.86,Tiny,2023-11
202311,Empresa 7327,811547.9596000001,Tiny,2023-11
202311,Empresa 7330,317704.65280000004,Tiny,2023-11
202311,Empresa 7334,30282.784,Não Tiny,2023-11
202311,Empresa 7335,167069.02,Tiny,2023-11
202311,Empresa 7329,1094273.7612,Não Tiny,2023-11
202301,Empresa 7336,1532337.3504,Não Tiny,2023-01
