bc,Empresa,Conversão (%),Cadastrado? Quando?,mes,cadastro_periodo,status_cadastro_no_mes,cadastrado_no_mes,cadastro_futuro
2023-08,Empresa 9698,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 10318,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 10792,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 14115,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 23403,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 16893,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 17211,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25155,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 14772,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 24610,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 9863,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 3384,100.0,202101,2023-08,2021-01,já cadastrado,True,False
2023-08,Empresa 4780,100.0,202110,2023-08,2021-10,já cadastrado,True,False
2023-08,Empresa 7491,0.0,202012,2023-08,2020-12,já cadastrado,True,False
2023-08,Empresa 12753,0.0,202308,2023-08,2023-08,já cadastrado,True,False
2023-08,Empresa 24841,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 11113,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 22887,0.0,202308,2023-08,2023-08,já cadastrado,True,False
2023-08,Empresa 13776,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 16398,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 23640,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 18707,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25156,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 25157,0.0,202307,2023-08,2023-07,já cadastrado,True,False
2023-08,Empresa 3182,100.0,202201,2023-08,2022-01,já cadastrado,True,False
2023-08,Empresa 1491,0.0,202110,2023-08,2021-10,já cadastrado,True,False
2023-08,Empresa 25158,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 21137,0.0,202012,2023-08,2020-12,já cadastrado,True,False
2023-08,Empresa 6177,30.16,202012,2023-08,2020-12,já cadastrado,True,False
2023-08,Empresa 16218,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 20986,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 6450,0.0,202309,2023-08,2023-09,cadastro futuro,False,True
2023-08,Empresa 15433,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 18788,0.0,202005,2023-08,2020-05,já cadastrado,True,False
2023-08,Empresa 6512,100.0,202212,2023-08,2022-12,já cadastrado,True,False
2023-08,Empresa 9229,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 18144,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 5235,100.0,202205,2023-08,2022-05,já cadastrado,True,False
2023-08,Empresa 17085,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 18612,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 9547,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 8866,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 6635,100.0,202109,2023-08,2021-09,já cadastrado,True,False
2023-08,Empresa 17667,0.0,Não,2023-08,,sem cadastro,False,False
2023-08,Empresa 18838,0.0,Não,2023-08,,sem cadastro,False,False
