Empresa,Valor,share,share_acumulado,pct_fornecedores
Empresa 7503,4978590.58,9.671913709521435e-05,0.8806726386628119,0.17939330543933055
Empresa 6656,4976668.6428000005,9.668179959887917e-05,0.8807693204624107,0.17952405857740586
Empresa 2506,4967561.077,9.650486681216787e-05,0.8808658253292229,0.17965481171548117
Empresa 5600,4967309.919,9.649998756278108e-05,0.8809623253167856,0.17978556485355648
Empresa 6005,4965359.8222,9.646210300956922e-05,0.8810587874197953,0.1799163179916318
Empresa 912,4947298.447,9.611122446351754e-05,0.8811548986442588,0.1800470711297071
Empresa 5565,4938034.0098,9.593124413429417e-05,0.8812508298883931,0.18017782426778242
Empresa 6717,4926460.1828000005,9.57063992625696e-05,0.8813465362876557,0.18030857740585773
Empresa 7240,4920916.6398,9.559870478824104e-05,0.881442134992444,0.18043933054393305
Empresa 2926,4920353.9818,9.558777402473172e-05,0.8815377227664687,0.18057008368200836
Empresa 4573,4895300.731,9.510106423008819e-05,0.8816328238306987,0.18070083682008367
Empresa 3204,4890864.4192,9.501487994915837e-05,0.8817278387106479,0.18083158995815898
Empresa 14,4885585.1884,9.491232027101297e-05,0.8818227510309189,0.1809623430962343
Empresa 5508,4884333.35,9.488800079185815e-05,0.8819176390317107,0.18109309623430964
Empresa 5127,4878829.9816,9.4781086789951e-05,0.8820124201185007,0.18122384937238495
Empresa 6784,4878709.1018,9.477873845667066e-05,0.8821071988569573,0.18135460251046026
Empresa 4170,4875048.852200001,9.47076307451253e-05,0.8822019064877025,0.18148535564853557
Empresa 2013,4869579.108,9.460136996094256e-05,0.8822965078576634,0.18161610878661089
Empresa 6884,4867060.497,9.455244087575586e-05,0.8823910602985392,0.1817468619246862
Empresa 6712,4859750.393,9.441042740033642e-05,0.8824854707259395,0.1818776150627615
Empresa 7513,4859388.3054,9.440339312032039e-05,0.8825798741190598,0.18200836820083682
Empresa 6349,4854015.5356,9.429901625893421e-05,0.8826741731353187,0.18213912133891214
Empresa 6761,4848995.544000001,9.420149282374201e-05,0.8827683746281424,0.18226987447698745
Empresa 1910,4842784.607799999,9.40808328939557e-05,0.8828624554610364,0.18240062761506276
Empresa 4898,4839705.9554,9.402102387797833e-05,0.8829564764849144,0.18253138075313807
Empresa 5501,4837278.8719999995,9.397387290054121e-05,0.8830504503578149,0.18266213389121339
Empresa 4232,4835284.7914,9.393513387353526e-05,0.8831443854916885,0.1827928870292887
Empresa 1948,4833641.9582,9.390321853385384e-05,0.8832382887102224,0.182923640167364
Empresa 4442,4830533.8468,9.384283721754087e-05,0.88333213154744,0.18305439330543932
Empresa 2483,4826248.9774,9.3759595009877e-05,0.8834258911424498,0.18318514644351463
Empresa 4505,4818544.1228,9.360991270996069e-05,0.8835195010551599,0.18331589958158995
Empresa 300,4809502.2746,9.343425661982888e-05,0.8836129353117796,0.18344665271966526
Empresa 3316,4805140.26,9.334951571146746e-05,0.8837062848274911,0.18357740585774057
Empresa 1402,4792406.0332,9.310212773933365e-05,0.8837993869552305,0.1837081589958159
Empresa 1794,4776869.0362,9.280029031793014e-05,0.8838921872455484,0.18383891213389122
Empresa 3949,4771117.9986,9.268856484359436e-05,0.883984875810392,0.18396966527196654
Empresa 3140,4766845.268800001,9.26055584720809e-05,0.8840774813688641,0.18410041841004185
Empresa 7368,4762045.1071999995,9.251230567685512e-05,0.884169993674541,0.18423117154811716
Empresa 4990,4755717.313999999,9.238937556477088e-05,0.8842623830501057,0.18436192468619247
Empresa 4214,4748233.0192,9.224397808265414e-05,0.8843546270281883,0.1844926778242678
Empresa 3474,4746098.016,9.220250135065913e-05,0.884446829529539,0.1846234309623431
Empresa 2373,4745996.7696,9.220053443566892e-05,0.8845390300639747,0.1847541841004184
Empresa 3119,4742433.3164,9.213130718891202e-05,0.8846311613711636,0.18488493723849372
Empresa 5285,4739580.9732,9.207589468439484e-05,0.884723237265848,0.18501569037656904
Empresa 1970,4738773.2982,9.206020397277714e-05,0.8848152974698208,0.18514644351464435
Empresa 4840,4735199.9304,9.199078411497075e-05,0.8849072882539357,0.18527719665271966
Empresa 4209,4732551.6108,9.193933517930344e-05,0.884999227589115,0.18540794979079497
Empresa 1696,4726874.710200001,9.182904996532884e-05,0.8850910566390803,0.18553870292887029
Empresa 5470,4726274.0136,9.181738022549493e-05,0.8851828740193057,0.1856694560669456
Empresa 4590,4722706.769,9.174807932316616e-05,0.885274622098629,0.1858002092050209
Empresa 29,4721234.922599999,9.171948574603678e-05,0.885366341584375,0.18593096234309622
Empresa 5738,4720312.2062,9.170156012380345e-05,0.8854580431444988,0.18606171548117154
Empresa 2904,4714791.1268,9.159430205009333e-05,0.8855496374465489,0.18619246861924685
Empresa 2455,4710873.062,9.151818575965935e-05,0.8856411556323086,0.1863232217573222
Empresa 4541,4704112.8356,9.138685476276981e-05,0.8857325424870713,0.1864539748953975
Empresa 3059,4696989.0442,9.124846078439727e-05,0.8858237909478557,0.1865847280334728
Empresa 4260,4694096.3484000005,9.119226434945062e-05,0.8859149832122052,0.18671548117154813
Empresa 3667,4679764.180000001,9.091383314727066e-05,0.8860058970453525,0.18684623430962344
Empresa 5064,4679019.8552,9.089937314072506e-05,0.8860967964184933,0.18697698744769875
Empresa 860,4678975.9604,9.0898520395935e-05,0.8861876949388892,0.18710774058577406
Empresa 1923,4672807.121200001,9.077867828505729e-05,0.8862784736171743,0.18723849372384938
Empresa 4205,4669469.7458,9.071384305435011e-05,0.8863691874602286,0.1873692468619247
Empresa 1671,4668615.2746,9.06972432324108e-05,0.886459884703461,0.1875
Empresa 1063,4663365.6452,9.059525862100746e-05,0.886550479962082,0.1876307531380753
Empresa 2253,4660484.8932,9.053929421840231e-05,0.8866410192563005,0.18776150627615062
Empresa 6046,4653795.5108,9.040933950872464e-05,0.8867314285958092,0.18789225941422594
Empresa 5747,4650358.7936,9.034257436371361e-05,0.8868217711701729,0.18802301255230125
Empresa 4892,4649556.8858,9.032699569155738e-05,0.8869120981658645,0.18815376569037656
Empresa 4727,4647225.6732,9.028170719726678e-05,0.8870023798730617,0.18828451882845187
Empresa 5518,4645243.803400001,9.024320538961442e-05,0.8870926230784514,0.1884152719665272
Empresa 2941,4645187.68,9.024211507966992e-05,0.8871828651935311,0.1885460251046025
Empresa 7145,4636256.886,9.0068616440773e-05,0.8872729338099719,0.1886767782426778
Empresa 2554,4635422.3152,9.005240322413592e-05,0.887362986213196,0.18880753138075315
Empresa 1665,4633541.2824,9.00158603780552e-05,0.887453002073574,0.18893828451882846
Empresa 10,4628302.9293,8.99140948314631e-05,0.8875429161684055,0.18906903765690378
Empresa 1602,4625032.9714,8.985056932131245e-05,0.8876327667377268,0.1891997907949791
Empresa 1142,4620783.1146,8.976800730383597e-05,0.8877225347450307,0.1893305439330544
Empresa 1557,4611999.313,8.959736428800325e-05,0.8878121321093188,0.18946129707112971
Empresa 7496,4609378.886,8.95464572222005e-05,0.887901678566541,0.18959205020920503
Empresa 2938,4606029.4778,8.948138823014782e-05,0.8879911599547712,0.18972280334728034
Empresa 3905,4603777.8312,8.943764546546452e-05,0.8880805976002366,0.18985355648535565
Empresa 7211,4600062.9355999995,8.936547614544165e-05,0.8881699630763821,0.18998430962343096
Empresa 1178,4599503.285800001,8.935460382226874e-05,0.8882593176802044,0.19011506276150628
Empresa 2076,4594272.026000001,8.925297607729822e-05,0.8883485706562817,0.1902458158995816
Empresa 5248,4589396.606,8.915826123626045e-05,0.8884377289175179,0.1903765690376569
Empresa 2397,4589210.6672,8.915464900103051e-05,0.888526883566519,0.1905073221757322
Empresa 1693,4588655.859,8.914387073567708e-05,0.8886160274372547,0.19063807531380753
Empresa 121,4579316.4838,8.896243458505621e-05,0.8887049898718397,0.19076882845188284
Empresa 1583,4578129.74,8.893937969945262e-05,0.8887939292515391,0.19089958158995815
Empresa 1113,4577737.606000001,8.893176170767439e-05,0.8888828610132468,0.19103033472803346
Empresa 2468,4563844.528,8.866186071980151e-05,0.8889715228739665,0.19116108786610878
Empresa 7071,4563567.631200001,8.865648144244781e-05,0.8890601793554089,0.1912918410041841
Empresa 4805,4557715.2048,8.854278628671534e-05,0.8891487221416956,0.19142259414225943
Empresa 5270,4555905.5322,8.850762975606991e-05,0.8892372297714517,0.19155334728033474
